Speler;Link;Datum;Speelronde;P_Gespeeld;P_Gewonnen;P_Gelijk;P_Verloren;P_Kaart_Geel;P_Kaart_Rood;P_Doelpunt;P_Assist;P_Tegendoelpunt;P_Eigen_Doelpunt;P_Clean_Sheet;P_Penalty_Gescoord;P_Penalty_Gemist;P_Penalty_Gestopt;P_Totaal
J. Puriël;/players/germain-puriel/633104/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
J. van der Wilt;/players/joel-van-der-wilt/771874/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
L. Delaurier-Chaubet;/players/logan-delaurier-chaubet/626512/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
J. Pinas;/players/jaden-pinas/845490/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
J. Wendlinger;/players/jonas-wendlinger/469451/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
J. Zoet;/players/jeroen-zoet/61206/;2024-08-10;1;3.0;2.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;12.0;0.0;-0.0;0.0;17.0
D. Møller Wolfe;/players/david-moller-wolfe/603294/;2024-08-10;1;3.0;2.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;10.0;0.0;-0.0;0.0;15.0
S. Maikuma;/players/seiya-maikuma/651537/;2024-08-10;1;3.0;2.0;0.0;0.0;-2.0;-0.0;0.0;0.0;-0.0;-0.0;10.0;0.0;-0.0;0.0;13.0
M. Dekker;/players/maxim-dekker/700543/;2024-08-10;1;3.0;2.0;0.0;0.0;-0.0;-8.0;0.0;0.0;-0.0;-0.0;10.0;0.0;-0.0;0.0;7.0
W. Goes;/players/wouter-goes/777233/;2024-08-10;1;3.0;2.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;10.0;0.0;-0.0;0.0;15.0
J. Clasie;/players/jordy-clasie/134078/;2024-08-10;1;3.0;2.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;3.0;0.0;-0.0;0.0;8.0
P. Koopmeiners;/players/peer-koopmeiners/533281/;2024-08-10;1;3.0;2.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;3.0;0.0;-0.0;0.0;8.0
S. Mijnans;/players/sven-mijnans/566000/;2024-08-10;1;3.0;2.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;3.0;0.0;-0.0;0.0;8.0
I. Sadiq;/players/ibrahim-sadiq/513977/;2024-08-10;1;1.9;1.2666666666666666;0.0;0.0;-0.0;-0.0;8.0;0.0;0.0;-0.0;0.6333333333333333;0.0;-0.0;0.0;11.799999999999999
T. Parrott;/players/troy-parrot/515624/;2024-08-10;1;2.4333333333333336;1.6222222222222222;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.8111111111111111;0.0;-0.0;0.0;4.866666666666666
M. van Brederode;/players/myron-van-brederode/638358/;2024-08-10;1;2.966666666666667;1.9777777777777779;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.9888888888888889;0.0;-0.0;0.0;5.933333333333334
E. Poku;/players/ernest-poku/700544/;2024-08-10;1;1.0999999999999999;0.7333333333333333;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.36666666666666664;0.0;-0.0;0.0;2.1999999999999997
L. Zeefuik;/players/lequincio-zeefuik/699766/;2024-08-10;1;0.5666666666666667;0.37777777777777777;0.0;0.0;-2.0;-0.0;0.0;0.0;0.0;-0.0;0.18888888888888888;0.0;-0.0;0.0;-0.8666666666666667
R. van Bommel;/players/ruben-van-bommel/834074/;2024-08-10;1;0.03333333333333333;0.022222222222222223;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.011111111111111112;0.0;-0.0;0.0;0.06666666666666667
Z. Buurmeester;/players/zico-buurmeester/627669/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
D. Kasius;/players/denso-kasius/569311/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
K. Belić;/players/kristijan-belic/453868/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
H. Verhulst;/players/hobie-verhulst/138446/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
D. Deen;/players/daniel-deen/670179/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
Alexandre Penetra;/players/alexandre-manuel-penetra-correia/572102/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
J. Addai;/players/jayden-addai/789997/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
R. Bazoer;/players/riechedly-bazoer/218161/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
T. Wellenreuther;/players/timon-wellenreuther/258964/;2024-08-10;1;3.0;0.0;1.0;0.0;-2.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;1.0
B. Nieuwkoop;/players/bart-nieuwkoop/275124/;2024-08-10;1;2.6333333333333333;0.0;0.8777777777777778;0.0;-2.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;1.511111111111111
D. Hancko;/players/david-hancko/391059/;2024-08-10;1;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;3.0
M. López;/players/marcos-johan-lopez-lanfranco/442604/;2024-08-10;1;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;3.0
L. Geertruida;/players/lutsharel-geertruida/463698/;2024-08-10;1;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;3.0
N. Kasanwirjo;/players/neraysho-kasanwirjo/525925/;2024-08-10;1;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;3.0
R. Zerrouki;/players/ramiz-larbi-zerrouki/621348/;2024-08-10;1;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;4.0
A. Milambo;/players/antoni-djibu-milambo/736392/;2024-08-10;1;2.033333333333333;0.0;0.6777777777777778;0.0;-0.0;-0.0;9.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;11.711111111111112
L. Ivanušec;/players/luka-ivanuec/424605/;2024-08-10;1;2.033333333333333;0.0;0.6777777777777778;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.7111111111111112
