Rugnummer;Naam;Positie;Link;SW_Naam;SW_ID;Team;Naam_fix
32.0;M. Wittek;V;/players/maximilian-wittek/259482/;maximilian-wittek;259482;sbv-vitesse;M. Wittek
10.0;A. Halilović;M;/players/alen-halilovi/270136/;alen-halilovi;270136;Fortuna Sittard;A. Halilovic
11.0;Z. Bakkali;A;/players/zakaria-bakkali/271091/;zakaria-bakkali;271091;RKC Waalwijk;Z. Bakkali
1.0;V. Barkas;K;/players/vasileios-barkas/272919/;vasileios-barkas;272919;FC Utrecht;V. Barkas
22.0;R. Meir;V;/players/yosef-raz-meir/273313/;yosef-raz-meir;273313;RKC Waalwijk;R. Meir
5.0;P. Bochniewicz;V;/players/pawe-bochniewicz/273911/;pawe-bochniewicz;273911;sc Heerenveen;P. Bochniewicz
5.0;B. Kuipers;V;/players/bas-edo-kuipers/274649/;bas-edo-kuipers;274649;Go Ahead Eagles;B. Kuipers
4.0;D. van Bruggen;V;/players/damian-van-bruggen/274650/;damian-van-bruggen;274650;Almere City FC;D. van Bruggen
2.0;B. Nieuwkoop;V;/players/bart-nieuwkoop/275124/;bart-nieuwkoop;275124;Feyenoord;B. Nieuwkoop
18.0;N. Alblas;K;/players/norbert-alblas/276990/;norbert-alblas;276990;Excelsior;N. Alblas
;M. Verrips;K;/players/michael-verrips/277760/;michael-verrips;277760;Fortuna Sittard;M. Verrips
4.0;S. van Beek;V;/players/sven-van-beek/283008/;sven-van-beek;283008;sc Heerenveen;S. van Beek
4.0;D. Mirani;V;/players/damon-mirani/289811/;damon-mirani;289811;FC Volendam;D. Mirani
11.0;P. van Amersfoort;M;/players/pelle-van-amersfoort/289816/;pelle-van-amersfoort;289816;sc Heerenveen;P. van Amersfoort
7.0;Y. Namli;M;/players/younes-namli/291585/;younes-namli;291585;PEC Zwolle;Y. Namli
10.0;R. Maulun;M;/players/-maucun/297215/;-maucun;297215;FC Volendam;R. Maulun
44.0;A. Noppert;K;/players/andries-noppert/300862/;andries-noppert;300862;sc Heerenveen;A. Noppert
17.0;S. Klaiber;V;/players/sean-klaiber/302164/;sean-klaiber;302164;FC Utrecht;S. Klaiber
21.0;J. Houwen;K;/players/jeroen-houwen/303254/;jeroen-houwen;303254;RKC Waalwijk;J. Houwen
19.0;A. Ferati;M;/players/arianit-ferati/310354/;arianit-ferati;310354;Fortuna Sittard;A. Ferati
9.0;T. Robinet;A;/players/thomas-robinet/312659/;thomas-robinet;312659;Almere City FC;T. Robinet
5.0;J. Bruijn;M;/players/jordy-bruijn/314251/;jordy-bruijn;314251;Heracles Almelo;J. Bruijn
23.0;J. Gaari;V;/players/jurien-gaari/315769/;jurien-gaari;315769;RKC Waalwijk;J. Gaari
7.0;L. Lamprou;A;/players/lazaros-lamprou/317200/;lazaros-lamprou;317200;Excelsior;L. Lamprou
;D. Warmerdam;V;/players/django-warmerdam/317405/;django-warmerdam;317405;Sparta Rotterdam;D. Warmerdam
25.0;B. Sosa;V;/players/borna-sosa/318347/;borna-sosa;318347;Ajax;B. Sosa
24.0;C. Verdonk;V;/players/calvin-verdonk/319288/;calvin-verdonk;319288;NEC;C. Verdonk
5.0;H. ter Avest;V;/players/hidde-ter-avest/319299/;hidde-ter-avest;319299;FC Utrecht;H. ter Avest
7.0;S. Bergwijn;A;/players/steven-bergwijn/319305/;steven-bergwijn;319305;Ajax;S. Bergwijn
;A. Verschueren;M;/players/arno-vershueren/319385/;arno-vershueren;319385;Sparta Rotterdam;A. Verschueren
27.0;F. Stokkers;A;/players/finn-stokkers/319661/;finn-stokkers;319661;Go Ahead Eagles;F. Stokkers
21.0;A. El Ghazi;A;/players/anwar-el-ghazi/320071/;anwar-el-ghazi;320071;PSV;A. El Ghazi
40.0;M. Hauptmeijer;K;/players/mike-hauptmeijer/321048/;mike-hauptmeijer;321048;PEC Zwolle;M. Hauptmeijer
26.0;A. Tahiri;M;/players/anas-tahiri/323282/;anas-tahiri;323282;sc Heerenveen;A. Tahiri
1.0;S. van Gassel;K;/players/stijn-van-gassel/323665/;stijn-van-gassel;323665;Excelsior;S. van Gassel
;S. Bakari;V;/players/said-bakari/325391/;said-bakari;325391;Sparta Rotterdam;S. Bakari
27.0;H. Lozano;A;/players/hirving-rodrigo-lozano-bahena/327531/;hirving-rodrigo-lozano-bahena;327531;PSV;H. Lozano
18.0;O. Boscagli;V;/players/olivier-boscagli/329542/;olivier-boscagli;329542;PSV;O. Boscagli
;V. van Crooij;A;/players/vito-van-crooy/330044/;vito-van-crooy;330044;Sparta Rotterdam;V. van Crooij
11.0;B. Ould-Chikh;A;/players/bilal--ould-chikh/333892/;bilal--ould-chikh;333892;FC Volendam;B. Ould-Chikh
3.0;P. Hatzidiakos;V;/players/panteleimon-chatzidiakos/334852/;panteleimon-chatzidiakos;334852;AZ;P. Hatzidiakos
29.0;E. Hansson;A;/players/emil-hansson/339651/;emil-hansson;339651;Heracles Almelo;E. Hansson
1.0;J. Bijlow;K;/players/justin-bijlow/340393/;justin-bijlow;340393;Feyenoord;J. Bijlow
10.0;T. Halilović;M;/players/tibor-halilovi/340589/;tibor-halilovi;340589;sc Heerenveen;T. Halilovic
11.0;N. Laursen;A;/players/nikolai-laursen/349513/;nikolai-laursen;349513;Heracles Almelo;N. Laursen
3.0;D. Van den Buijs;V;/players/dario-van-den-buijs/353273/;dario-van-den-buijs;353273;RKC Waalwijk;D. Van den Buijs
23.0;Manel Royo;V;/players/manel-royo-castell/354951/;manel-royo-castell;354951;Almere City FC;Manel Royo
16.0;J. Drommel;K;/players/joel-drommel/355869/;joel-drommel;355869;PSV;J. Drommel
31.0;M. Schubert;K;/players/marcus-schubert/357869/;marcus-schubert;357869;Vitesse;M. Schubert
10.0;A. Ouahim;M;/players/anas-ouahim/359287/;anas-ouahim;359287;Heracles Almelo;A. Ouahim
7.0;Iñigo Córdoba;M;/players/inigo-cordoba-kerejeta/372661/;inigo-cordoba-kerejeta;372661;Fortuna Sittard;Inigo Cordoba
10.0;P. Rommens;M;/players/philippe-rommens/374027/;philippe-rommens;374027;Go Ahead Eagles;P. Rommens
11.0;J. Dilrosun;A;/players/javairo-dilrosun/376321/;javairo-dilrosun;376321;Feyenoord;J. Dilrosun
32.0;O. Lingr;M;/players/ondej-lingr/377533/;ondej-lingr;377533;Feyenoord;O. Lingr
23.0;M. Sadílek;M;/players/michal-sadilek/377539/;michal-sadilek;377539;FC Twente;M. Sadilek
9.0;V. Pavlidis;A;/players/evangelos-pavlidis/379089/;evangelos-pavlidis;379089;AZ;V. Pavlidis
37.0;I. Lidberg;A;/players/isac-lidberg/379265/;isac-lidberg;379265;FC Utrecht;I. Lidberg
6.0;C. Eiting;M;/players/carel-eiting/379791/;carel-eiting;379791;FC Twente;C. Eiting
;P. Clement;M;/players/pelle-clement/379793/;pelle-clement;379793;Sparta Rotterdam;P. Clement
2.0;O. Buur;V;/players/oskar-buur/379811/;oskar-buur;379811;FC Volendam;O. Buur
10.0;D. de Wit;M;/players/dani-de-wit/381095/;dani-de-wit;381095;AZ;D. de Wit
3.0;P. Sandler;V;/players/philippe-sandler/381097/;philippe-sandler;381097;NEC;P. Sandler
12.0;A. Sampsted;V;/players/alfons-sampsted/384489/;alfons-sampsted;384489;FC Twente;A. Sampsted
1.0;J. de Lange;K;/players/jeffrey-de-lange/385269/;jeffrey-de-lange;385269;Go Ahead Eagles;J. de Lange
2.0;S. Floranus;V;/players/sherel-floranus/385271/;sherel-floranus;385271;Almere City FC;S. Floranus
7.0;R. Fernandes;A;/players/rashaan-fernandes/385285/;rashaan-fernandes;385285;Go Ahead Eagles;R. Fernandes
33.0;D. Hancko;V;/players/david-hancko/391059/;david-hancko;391059;Feyenoord;D. Hancko
23.0;B. Ramselaar;M;/players/bart-ramselaar/394807/;bart-ramselaar;394807;FC Utrecht;B. Ramselaar
17.0;Mauro Júnior;V;/players/mauro-jaqueson-junior-ferreira-dos-santos/398754/;mauro-jaqueson-junior-ferreira-dos-santos;398754;PSV;Mauro Junior
2.0;S. Horemans;V;/players/siebe-horemans/399758/;siebe-horemans;399758;Excelsior;S. Horemans
7.0;M. Köhlert;V;/players/mats-kohlert/400423/;mats-kohlert;400423;sc Heerenveen;M. Kohlert
4.0;J. Kramer;V;/players/joris-kramer/402051/;joris-kramer;402051;Go Ahead Eagles;J. Kramer
2.0;M. Deijl;V;/players/mats-deijl/402457/;mats-deijl;402457;Go Ahead Eagles;M. Deijl
28.0;L. Brouwers;M;/players/luuk-brouwers/402458/;luuk-brouwers;402458;sc Heerenveen;L. Brouwers
15.0;S. van Wermeskerken;V;/players/sai-van-wermeskerken/404592/;sai-van-wermeskerken;404592;NEC;S. van Wermeskerken
6.0;I. Sangaré;M;/players/ibrahima-sangare/405071/;ibrahima-sangare;405071;PSV;I. Sangare
;T. Lauritsen;A;/players/tobias-lauritsen/406745/;tobias-lauritsen;406745;Sparta Rotterdam;T. Lauritsen
9.0;S. Lammers;A;/players/sam-lammers/407736/;sam-lammers;407736;FC Utrecht;S. Lammers
2.0;J. Lelieveld;V;/players/julian-lelieveld/407738/;julian-lelieveld;407738;RKC Waalwijk;J. Lelieveld
18.0;M. Vlap;M;/players/michel-vlap/407742/;michel-vlap;407742;FC Twente;M. Vlap
1.0;E. Vaessen;K;/players/etienne-vaessen/408572/;etienne-vaessen;408572;RKC Waalwijk;E. Vaessen
16.0;V. Edvardsen;A;/players/victor-edvardsen/409168/;victor-edvardsen;409168;Go Ahead Eagles;V. Edvardsen
11.0;Y. Kitala;A;/players/yann-kitala/419684/;yann-kitala;419684;Almere City FC;Y. Kitala
30.0;S. Jansen;K;/players/sven-jansen/421540/;sven-jansen;421540;Go Ahead Eagles;S. Jansen
7.0;J. Odgaard;A;/players/jens-odgaard/421643/;jens-odgaard;421643;AZ;J. Odgaard
21.0;M. Corryn;M;/players/milan-corryn/421823/;milan-corryn;421823;Almere City FC;M. Corryn
34.0;M. de Wit;V;/players/mees-de-wit/423562/;mees-de-wit;423562;AZ;M. de Wit
9.0;K. Sierhuis;A;/players/kaj-sierhuis/423563/;kaj-sierhuis;423563;Fortuna Sittard;K. Sierhuis
19.0;N. Bakboord;V;/players/navajo-bakboord/423824/;navajo-bakboord;423824;Heracles Almelo;N. Bakboord
17.0;C. Nunnely;A;/players/che-nunnely/423827/;che-nunnely;423827;sc Heerenveen;C. Nunnely
19.0;S. Olsson;M;/players/simon-olsson/423888/;simon-olsson;423888;sc Heerenveen;S. Olsson
17.0;L. Ivanušec;M;/players/luka-ivanuec/424605/;luka-ivanuec;424605;Feyenoord;L. Ivanusec
7.0;M. van Bergen;A;/players/mitchell-van-bergen/426574/;mitchell-van-bergen;426574;FC Twente;M. van Bergen
4.0;A. Obispo;V;/players/armando-obispo/426581/;armando-obispo;426581;PSV;A. Obispo
24.0;G. Roemeratoe;M;/players/godfried-roemeratoe/426582/;godfried-roemeratoe;426582;RKC Waalwijk;G. Roemeratoe
3.0;J. Teze;V;/players/jordan-teze/426583/;jordan-teze;426583;PSV;J. Teze
11.0;B. Adekanye;A;/players/bobby-adekanye/427040/;bobby-adekanye;427040;Go Ahead Eagles;B. Adekanye
11.0;J. Karlsson;A;/players/jesper-karlsson/429161/;jesper-karlsson;429161;AZ;J. Karlsson
21.0;J. Hoogma;V;/players/justin-hoogma/432697/;justin-hoogma;432697;Heracles Almelo;J. Hoogma
18.0;K. Ogawa;A;/players/koki-ogawa/435835/;koki-ogawa;435835;NEC;K. Ogawa
19.0;J. Sánchez;V;/players/jorge-eduardo-sanchez-ramos/440449/;jorge-eduardo-sanchez-ramos;440449;Ajax;J. Sanchez
5.0;O. Wijndal;V;/players/owen-wijndal/440858/;owen-wijndal;440858;Ajax;O. Wijndal
4.0;S. Sonnenberg;V;/players/sven-sonnenberg/440863/;sven-sonnenberg;440863;Heracles Almelo;S. Sonnenberg
10.0;T. Booth;M;/players/taylor-booth/441556/;taylor-booth;441556;FC Utrecht;T. Booth
15.0;M. López;V;/players/marcos-johan-lopez-lanfranco/442604/;marcos-johan-lopez-lanfranco;442604;Feyenoord;M. Lopez
25.0;A. Fein;M;/players/adrian-fein/443743/;adrian-fein;443743;Excelsior;A. Fein
18.0;I. Nicolăescu;A;/players/ion-nicolescu/446191/;ion-nicolescu;446191;sc Heerenveen;I. Nicolaescu
27.0;R. Niemeijer;A;/players/reuven-niemeijer/447106/;reuven-niemeijer;447106;RKC Waalwijk;R. Niemeijer
17.0;A. Fontana;M;/players/anthony-fontana/448317/;anthony-fontana;448317;PEC Zwolle;A. Fontana
22.0;J. Schouten;M;/players/jerdy-schouten/448432/;jerdy-schouten;448432;PSV;J. Schouten
