Coach;Speler;Speelronde;Rugnummer;Naam;Positie;Link;SW_Naam;SW_ID;Team;Naam_fix;P_Totaal
El Cid;L. Unnerstall;1;1.0;L. Unnerstall;K;/players/lars-unnerstall/81320/;lars-unnerstall;81320.0;stichting-fc-twente-65;L. Unnerstall;4.0
El Cid;P. Bochniewicz;1;5.0;P. Bochniewicz;V;/players/pawe-bochniewicz/273911/;pawe-bochniewicz;273911.0;sportclub-heerenveen;P. Bochniewicz;0.0
El Cid;B. Nieuwkoop;1;2.0;B. Nieuwkoop;V;/players/bart-nieuwkoop/275124/;bart-nieuwkoop;275124.0;feyenoord-rotterdam-nv;B. Nieuwkoop;1.51
El Cid;D. van der Kust;1;;D. van der Kust;V;/players/djevencio-van-der-kust/569309/;djevencio-van-der-kust;569309.0;sparta-rotterdam-bv;D. van der Kust;14.0
El Cid;A. Halilovic;1;10.0;A. Halilović;M;/players/alen-halilovi/270136/;alen-halilovi;270136.0;fortuna-sittard;A. Halilovic;16.56
El Cid;L. Valente;1;10.0;L. Valente;M;/players/luciano-valente/703884/;luciano-valente;703884.0;stichting-fc-groningen;L. Valente;8.56
El Cid;V. Jensen;1;7.0;V. Jensen;M;/players/victor-jensen/460509/;victor-jensen;460509.0;stichting-fc-utrecht;V. Jensen;2.76
El Cid;D. Proper;1;71.0;D. Proper;M;/players/dirk-proper/525939/;dirk-proper;525939.0;nijmegen-eendracht-combinatie;D. Proper;3.0
El Cid;B. Traore;1;20.0;B. Traoré;A;/players/bertrand-traore/102801/;bertrand-traore;102801.0;afc-ajax;B. Traore;2.13
El Cid;L. de Jong;1;9.0;L. de Jong;A;/players/luuk-de-jong/65056/;luuk-de-jong;65056.0;psv-nv;L. de Jong;7.83
El Cid;T. Parrott;1;9.0;T. Parrott;A;/players/troy-parrot/515624/;troy-parrot;515624.0;stichting-az;T. Parrott;4.87
Otis.;V. Barkas;1;1.0;V. Barkas;K;/players/vasileios-barkas/272919/;vasileios-barkas;272919.0;stichting-fc-utrecht;V. Barkas;17.0
Otis.;M. Deijl;1;2.0;M. Deijl;V;/players/mats-deijl/402457/;mats-deijl;402457.0;stichting-go-ahead-eagles;M. Deijl;1.0
Otis.;M. Hilgers;1;2.0;M. Hilgers;V;/players/mees-hilgers/627701/;mees-hilgers;627701.0;stichting-fc-twente-65;M. Hilgers;
Otis.;J. Hato;1;4.0;J. Hato;V;/players/jorrel-hato/783173/;jorrel-hato;783173.0;afc-ajax;J. Hato;0.0
Otis.;G. Smal;1;5.0;G. Smal;V;/players/gijs-smal/508760/;gijs-smal;508760.0;feyenoord-rotterdam-nv;G. Smal;0.0
Otis.;S. Mijnans;1;10.0;S. Mijnans;M;/players/sven-mijnans/566000/;sven-mijnans;566000.0;stichting-az;S. Mijnans;8.0
Otis.;Rober;1;7.0;Róber;M;/players/roberto-gonzalez-bayon/500171/;roberto-gonzalez-bayon;500171.0;nijmegen-eendracht-combinatie;Rober;2.77
Otis.;P. Clement;1;;P. Clement;M;/players/pelle-clement/379793/;pelle-clement;379793.0;sparta-rotterdam-bv;P. Clement;7.0
Otis.;D. Karlsbakk;1;9.0;D. Karlsbakk;A;/players/daniel-seland-karlsbakk/629619/;daniel-seland-karlsbakk;629619.0;sportclub-heerenveen;D. Karlsbakk;1.53
Otis.;L. de Jong;1;9.0;L. de Jong;A;/players/luuk-de-jong/65056/;luuk-de-jong;65056.0;psv-nv;L. de Jong;7.83
Otis.;L. Kulenovic;1;19.0;L. Kulenović;A;/players/luka-kulenovi/631882/;luka-kulenovi;631882.0;stichting-heracles-almelo;L. Kulenovic;
Gordon Shumway;L. Unnerstall;1;1.0;L. Unnerstall;K;/players/lars-unnerstall/81320/;lars-unnerstall;81320.0;stichting-fc-twente-65;L. Unnerstall;4.0
Gordon Shumway;B. Nieuwkoop;1;2.0;B. Nieuwkoop;V;/players/bart-nieuwkoop/275124/;bart-nieuwkoop;275124.0;feyenoord-rotterdam-nv;B. Nieuwkoop;1.51
Gordon Shumway;J. Hato;1;4.0;J. Hato;V;/players/jorrel-hato/783173/;jorrel-hato;783173.0;afc-ajax;J. Hato;0.0
